0,1,2,3,4,5
X-Pac,6’1”,212,X-Factor; Bronco Buster,Minneapolis,WWE Tag Team Champion; WWE Light Heavyweight Champion; WWE European Champion; WCW Cruiserweight Champion; 2019 WWE Hall of Fame Inductee
Xavier Woods,5’11”,205,Honor Roll; Lost in the Woods; Midnight Hour,Atlanta,2021 King of the Ring Tournament winner; Raw Tag Team Champion; SmackDown Tag Team Champion; WWE Tag Team Champion
Xia Brookside,5’3”,NA,Brooksy Bomb,"Liverpool, England",NA
Xia Li,5’3”,NA,NA,"Chongqing, China",NA
Xyon Quinn,"6'2""",246,NA,"Brisbane, Queensland, Australia",NA
Yokozuna,6’4”,589,Banzai Drop,The Land of the Rising Sun,WWE Champion; World Tag Team Champion; 1993 Royal Rumble Match winner; 2012 WWE Hall of Fame Inductee
Yoshi Tatsu,6’1”,211,Roundhouse Kick,Tokyo,NA
Yulisa Leon,NA,NA,NA,NA,NA
Zack Ryder,6’2”,224,Rough Ryder; Broski Boot,"Long Island, N.Y.",Intercontinental Champion; United States Champion; WWE Tag Team Champion; Raw Tag Team Champion
Zeb Colter,6’0”,225,NA,"Nashville, Tenn.",NA
Zeus,6’5”,300,NA,Parts Unknown,NA
Zoey Stark,NA,NA,NA,NA,NXT Women's Tag Team Champion
